source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,incremental_mode,incremental_decision,source_has_history,probe_limit,feed_items_seen,anchor_found,anchor_index,selected_items_for_processing,incremental_warning,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message,fetch_feed_seconds,llm_basic_screening_seconds,llm_need_matching_seconds,llm_screen_and_match_seconds,screening_mode,llm_call_count,embedding_seconds,lock_wait_seconds,lock_held_seconds,pre_dedupe_lock_wait_seconds,pre_dedupe_lock_held_seconds,commit_lock_wait_seconds,commit_lock_held_seconds,source_total_seconds
articles-untag,1,#UNTAG,Articles/科技与编程,,https://rss.utgd.net/feed/,https://rss.utgd.net/feed/,docker-host,False,success,until_existing,new_source_initial_baseline,False,,10,False,,10,New source: processing first 10 items as initial baseline (new_source_initial_limit=30).,10,10,0,10,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
articles-0d793f4b,2,- 政府文件库,Articles/国内政策,,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,docker-host,False,success,until_existing,new_source_initial_baseline,False,,20,False,,20,New source: processing first 20 items as initial baseline (new_source_initial_limit=30).,20,20,0,20,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
articles-9a6a3f8b,3,- 求是网,Articles/党政信息,,https://plink.anyfeeder.com/qstheory,https://plink.anyfeeder.com/qstheory,docker-host,False,success,until_existing,new_source_initial_baseline,False,,30,False,,30,New source: processing first 30 items as initial baseline (new_source_initial_limit=30).,30,30,0,30,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
videos-lks,4,-LKs-,Videos/最娱乐,,http://127.0.0.1:1200/bilibili/user/video/125526,http://127.0.0.1:1200/bilibili/user/video/125526,docker-host,False,success,until_existing,new_source_initial_baseline,False,,30,False,,30,New source: processing first 30 items as initial baseline (new_source_initial_limit=30).,30,30,0,30,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
articles-01founder,5,01Founder,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3927644787.atom,http://127.0.0.1:8003/feed/MP_WXS_3927644787.atom,docker-host,False,success,until_existing,new_source_initial_baseline,False,,25,False,,25,New source: processing first 25 items as initial baseline (new_source_initial_limit=30).,25,25,0,25,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
videos-3blue1brown,6,3Blue1Brown,Videos/长知识,,http://127.0.0.1:1200/bilibili/user/video/88461692,http://127.0.0.1:1200/bilibili/user/video/88461692,docker-host,False,success,until_existing,new_source_initial_baseline,False,,30,False,,30,New source: processing first 30 items as initial baseline (new_source_initial_limit=30).,30,30,0,30,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
articles-51,7,51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,Articles/其他,,https://51cg1.com/feed/,https://51cg1.com/feed/,docker-host,False,success,until_existing,new_source_initial_baseline,False,,10,False,,10,New source: processing first 10 items as initial baseline (new_source_initial_limit=30).,10,10,0,10,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
articles-agi-hunt,8,AGI Hunt,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3087832081.atom,http://127.0.0.1:8003/feed/MP_WXS_3087832081.atom,docker-host,False,success,until_existing,new_source_initial_baseline,False,,25,False,,25,New source: processing first 25 items as initial baseline (new_source_initial_limit=30).,25,25,0,25,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
socialmedia-ai-breakfast-aibreakfast,9,AI Breakfast(@AiBreakfast),SocialMedia,,https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,docker-host,False,success,until_existing,new_source_initial_baseline,False,,30,False,,30,New source: processing first 30 items as initial baseline (new_source_initial_limit=30).,30,30,0,30,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
socialmedia-ai-engineer-aidotengineer,10,AI Engineer(@aiDotEngineer),SocialMedia,,https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,docker-host,False,success,until_existing,new_source_initial_baseline,False,,30,False,,30,New source: processing first 30 items as initial baseline (new_source_initial_limit=30).,30,30,0,30,0,unknown,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,
