source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message,fetch_feed_seconds,llm_basic_screening_seconds,llm_need_matching_seconds,embedding_seconds,lock_wait_seconds,lock_held_seconds,source_total_seconds
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-346563107"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107""}",1,bilibili-user-346563107,bilibili,,http://127.0.0.1:1200/bilibili/user/video/346563107,http://127.0.0.1:1200/bilibili/user/video/346563107,remote,True,success,2,0,2,0,2,unknown,0,0,2,0,,,2.145,,,,0.0,0.003,2.176
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/730732"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-730732"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/730732""}",2,bilibili-user-730732,bilibili,,http://127.0.0.1:1200/bilibili/user/video/730732,http://127.0.0.1:1200/bilibili/user/video/730732,remote,True,success,2,0,2,0,2,unknown,0,0,2,0,,,2.025,,,,0.0,0.002,2.041
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1372433"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1372433"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1372433""}",3,bilibili-user-1372433,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1372433,http://127.0.0.1:1200/bilibili/user/video/1372433,remote,True,success,2,0,2,0,2,unknown,0,0,2,0,,,1.484,,,,0.0,0.003,1.504
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/281127303"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-281127303"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/281127303""}",4,bilibili-user-281127303,bilibili,,http://127.0.0.1:1200/bilibili/user/video/281127303,http://127.0.0.1:1200/bilibili/user/video/281127303,remote,True,success,2,0,2,0,2,unknown,0,0,2,0,,,1.733,,,,0.0,0.002,1.749
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/279991456"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-279991456"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/279991456""}",5,bilibili-user-279991456,bilibili,,http://127.0.0.1:1200/bilibili/user/video/279991456,http://127.0.0.1:1200/bilibili/user/video/279991456,remote,True,success,2,0,2,0,2,unknown,0,0,2,0,,,1.397,,,,0.0,0.002,1.413
