sequence,source_id,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,url_source,screen,row_index,status,priority
1,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-346563107"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107""}",bilibili-user-346563107,bilibili,,http://127.0.0.1:1200/bilibili/user/video/346563107,http://127.0.0.1:1200/bilibili/user/video/346563107,remote,xml_url,True,2,P2,rss
2,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/730732"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-730732"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/730732""}",bilibili-user-730732,bilibili,,http://127.0.0.1:1200/bilibili/user/video/730732,http://127.0.0.1:1200/bilibili/user/video/730732,remote,xml_url,True,3,P2,rss
3,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1372433"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1372433"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1372433""}",bilibili-user-1372433,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1372433,http://127.0.0.1:1200/bilibili/user/video/1372433,remote,xml_url,True,4,P2,rss
4,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/281127303"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-281127303"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/281127303""}",bilibili-user-281127303,bilibili,,http://127.0.0.1:1200/bilibili/user/video/281127303,http://127.0.0.1:1200/bilibili/user/video/281127303,remote,xml_url,True,5,P2,rss
5,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/279991456"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-279991456"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/279991456""}",bilibili-user-279991456,bilibili,,http://127.0.0.1:1200/bilibili/user/video/279991456,http://127.0.0.1:1200/bilibili/user/video/279991456,remote,xml_url,True,6,P2,rss
