sequence,source_id,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,url_source,screen,row_index,status,priority
1,articles-untag,#UNTAG,Articles/科技与编程,,https://rss.utgd.net/feed/,https://rss.utgd.net/feed/,docker-host,xml_url,False,1,active,0
2,articles-0d793f4b,- 政府文件库,Articles/国内政策,,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,docker-host,xml_url,False,2,active,0
3,articles-9a6a3f8b,- 求是网,Articles/党政信息,,https://plink.anyfeeder.com/qstheory,https://plink.anyfeeder.com/qstheory,docker-host,xml_url,False,3,active,0
4,videos-lks,-LKs-,Videos/最娱乐,,http://127.0.0.1:1200/bilibili/user/video/125526,http://127.0.0.1:1200/bilibili/user/video/125526,docker-host,xml_url,False,4,active,0
5,articles-01founder,01Founder,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3927644787.atom,http://127.0.0.1:8003/feed/MP_WXS_3927644787.atom,docker-host,xml_url,False,5,active,0
6,videos-3blue1brown,3Blue1Brown,Videos/长知识,,http://127.0.0.1:1200/bilibili/user/video/88461692,http://127.0.0.1:1200/bilibili/user/video/88461692,docker-host,xml_url,False,6,active,0
7,articles-51,51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,Articles/其他,,https://51cg1.com/feed/,https://51cg1.com/feed/,docker-host,xml_url,False,7,active,0
8,articles-agi-hunt,AGI Hunt,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3087832081.atom,http://127.0.0.1:8003/feed/MP_WXS_3087832081.atom,docker-host,xml_url,False,8,active,0
9,socialmedia-ai-breakfast-aibreakfast,AI Breakfast(@AiBreakfast),SocialMedia,,https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,docker-host,xml_url,False,9,active,0
10,socialmedia-ai-engineer-aidotengineer,AI Engineer(@aiDotEngineer),SocialMedia,,https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,docker-host,xml_url,False,10,active,0
11,videos-ai-foundations,AI Foundations,Videos,,https://www.youtube.com/feeds/videos.xml?channel_id=UCWZwfV3ICOt3uEPpW6hYK4g,https://www.youtube.com/feeds/videos.xml?channel_id=UCWZwfV3ICOt3uEPpW6hYK4g,docker-host,xml_url,False,11,active,0
12,socialmedia-ai-sdk-aisdk,AI SDK(@aisdk),SocialMedia,,https://api.xgo.ing/rss/user/22af005b21ec45b1a4503acca777b7f0,https://api.xgo.ing/rss/user/22af005b21ec45b1a4503acca777b7f0,docker-host,xml_url,False,12,active,0
13,socialmedia-ai-will-financeyf5,AI Will(@FinanceYF5),SocialMedia,,https://api.xgo.ing/rss/user/aa74321087f9405a872fd9a76b743bf8,https://api.xgo.ing/rss/user/aa74321087f9405a872fd9a76b743bf8,docker-host,xml_url,False,13,active,0
14,socialmedia-ai-at-meta-aiatmeta,AI at Meta(@AIatMeta),SocialMedia,,https://api.xgo.ing/rss/user/ef7c70f9568d45f4915169fef4ce90b4,https://api.xgo.ing/rss/user/ef7c70f9568d45f4915169fef4ce90b4,docker-host,xml_url,False,14,active,0
15,articles-aigc,AIGC开放社区,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3873892677.atom,http://127.0.0.1:8003/feed/MP_WXS_3873892677.atom,docker-host,xml_url,False,15,active,0
16,articles-ai-fbd288db,AI产品银海,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3913528478.atom,http://127.0.0.1:8003/feed/MP_WXS_3913528478.atom,docker-host,xml_url,False,16,active,0
17,articles-ai-ff82b753,AI产品阿颖,Articles/微信公众号,,http://127.0.0.1:8003/feed/MP_WXS_3892772220.atom,http://127.0.0.1:8003/feed/MP_WXS_3892772220.atom,docker-host,xml_url,False,17,active,0
