source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message,fetch_feed_seconds,llm_basic_screening_seconds,llm_need_matching_seconds,embedding_seconds,lock_wait_seconds,lock_held_seconds,source_total_seconds
"{""feed_url"": ""http://127.0.0.1:1200/dx2025"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""Articles"", ""source_name"": ""东西智库"", ""xml_url"": ""http://127.0.0.1:1200/dx2025""}",1,东西智库,Articles,,http://127.0.0.1:1200/dx2025,http://127.0.0.1:1200/dx2025,remote,True,failed,0,0,0,0,0,unknown,0,0,0,0,rsshub_503,"{""detail"": ""HTTP Error 503: Service Unavailable""}",,,,,,,
"{""feed_url"": ""http://127.0.0.1:1200/sspai/index"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""Articles"", ""source_name"": ""少数派"", ""xml_url"": ""http://127.0.0.1:1200/sspai/index""}",2,少数派,Articles,,http://127.0.0.1:1200/sspai/index,http://127.0.0.1:1200/sspai/index,remote,True,success,2,0,2,0,1,unknown,0,0,2,0,,,3.815,,,,0.0,0.007,3.873
"{""feed_url"": ""http://127.0.0.1:1200/twitter/user/tuturetom"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""SocialMedia"", ""source_name"": ""Twitter-@Tom-Huang"", ""xml_url"": ""http://127.0.0.1:1200/twitter/user/tuturetom""}",3,Twitter-@Tom-Huang,SocialMedia,,http://127.0.0.1:1200/twitter/user/tuturetom,http://127.0.0.1:1200/twitter/user/tuturetom,remote,True,failed,0,0,0,0,0,unknown,0,0,0,0,rsshub_503,"{""detail"": ""HTTP Error 503: Service Unavailable""}",,,,,,,
"{""feed_url"": ""http://127.0.0.1:1200/jike/topic/660165c504703c909c6d8b2e"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""SocialMedia"", ""source_name"": ""即刻-笔记交流站"", ""xml_url"": ""http://127.0.0.1:1200/jike/topic/660165c504703c909c6d8b2e""}",4,即刻-笔记交流站,SocialMedia,,http://127.0.0.1:1200/jike/topic/660165c504703c909c6d8b2e,http://127.0.0.1:1200/jike/topic/660165c504703c909c6d8b2e,remote,True,success,2,0,2,0,1,unknown,0,0,2,0,,,2.266,,,,0.0,0.004,2.277
"{""feed_url"": ""http://127.0.0.1:1200/bookfere/weekly"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""SocialMedia"", ""source_name"": ""书伴-每周一书"", ""xml_url"": ""http://127.0.0.1:1200/bookfere/weekly""}",5,书伴-每周一书,SocialMedia,,http://127.0.0.1:1200/bookfere/weekly,http://127.0.0.1:1200/bookfere/weekly,remote,True,success,2,0,2,0,0,unknown,2,0,2,0,,,1.111,,,,0.0,0.005,1.12
